[4####]
9 8 0   145.0  145.0
 2112999.4140005.230E-061 4.595E-05.05540.06216903.12000.650.000000                                                el 101      134440314210 9 8 0   203.0  203.0
 2312999.4140003.560E-072 6.614E-02.06680.08022209.59200.750.000000                                                el  40      136650314210 9 8 0    81.0   81.0
 2312999.4140008.760E-041 1.682E-14.06630.077 1392.82300.750.000000                                                el  44      135550314210 9 8 0    89.0   89.0
 2112999.4140001.070E-050 6.918E-06.06270.07011512.38500.700.000000                                                el  57      135540314210 9 8 0   115.0  115.0
 2312999.4140002.600E-040 1.514E-08.06630.077 3989.64100.750.000000                                                el  44      135550314210 9 8 0    89.0   89.0
 2112999.4140001.110E-044 1.096E-07.06560.073 7783.14600.730.000000                                                el  50      135550314210 9 8 0   101.0  101.0
 2112999.4140005.880E-054 2.344E-05.05680.06313391.70300.650.000000                                                el  86      134540314210 9 8 0   173.0  173.0
 2312999.4140002.060E-057 2.656E-05.06120.06913690.32900.690.000000                                                el  60      135540314210 9 8 0   121.0  121.0
 2112999.4140002.540E-076 7.075E-03.05980.06725100.15300.680.000000                                                el  64      135540314210 9 8 0   129.0  129.0
 2312999.4140002.080E-053 3.858E-05.05560.06211970.64000.650.000000                                                el  98      134440314210 9 8 0   197.0  197.0
 2312999.4140004.810E-043 1.888E-09.06420.071 4897.51600.710.000000                                                el  54      135540314210 9 8 0   109.0  109.0
 2412999.4140002.620E-047 6.447E-08.06580.074 7283.78000.730.000000                                                el  49      135550314210 9 8 0   594.0  594.0
 2412999.4140001.620E-055 6.128E-05.06470.07112598.95600.720.000000                                                el  53      135540314210 9 8 0   642.0  642.0
 2412999.4140003.150E-041 1.541E-10.06690.080 3115.39900.760.000000                                                el  39      136650314210 9 8 0   474.0  474.0
 2112999.4140002.020E-055 1.827E-05.05790.06514005.96800.650.000000                                                el  75      135540314210 9 8 0   151.0  151.0
 2112999.4140002.310E-046 8.208E-08.06630.077 8494.28200.750.000000                                                el  44      135550314210 9 8 0    89.0   89.0
 2312999.4150008.470E-066 6.198E-04.06120.06918310.84400.690.000000                                                el  60      135540314210 9 8 0   121.0  121.0
 2412999.4150001.610E-059 7.414E-05.05870.06614588.06600.670.000000                                                el  69      135540314210 9 8 0   834.0  834.0
 2112999.4150002.790E-057 1.707E-05.05790.06514872.93200.650.000000                                                el  75      135540314210 9 8 0   151.0  151.0
 2112999.4150002.990E-078 6.353E-02.06680.08026369.81700.750.000000                                                el  40      136650314210 9 8 0    81.0   81.0
 2312999.4150002.600E-042 2.250E-13.06590.074 2667.69000.730.000000                                                el  48      135550314210 9 8 0    97.0   97.0
 2112999.4150001.610E-041 2.450E-12.05680.064 4190.84700.650.000000                                                el  85      134540314210 9 8 0   171.0  171.0
 2212999.4150006.000E-063 3.574E-06.05850.06616296.83700.660.000000                                                el  70      135540314210 9 8 0   282.0  282.0
 2412999.4150009.140E-072 7.501E-03.06220.06921303.32800.700.000000                                                el  58      135540314210 9 8 0   702.0  702.0
 2112999.4150006.390E-058 4.502E-05.05810.06515370.15700.660.000000                                                el  73      135540314210 9 8 0   147.0  147.0
 2112999.4150004.160E-067 4.689E-05.05490.06119806.47000.660.000000                                                el 106      134440314210 9 8 0   213.0  213.0
 2112999.4150008.360E-051 8.133E-05.05930.06712100.06200.670.000000                                                el  66      135540314210 9 8 0   133.0  133.0
 2112999.4150001.590E-066 6.104E-05.05780.06519516.82900.650.000000                                                el  76      135540314210 9 8 0   153.0  153.0
 2112999.4150006.810E-065 1.467E-05.05590.06218496.19000.650.000000                                                el  95      134440314210 9 8 0   191.0  191.0
 2412999.4160005.360E-061 2.047E-04.05910.06615490.99700.670.000000                                                el  67      135540314210 9 8 0   810.0  810.0
 2412999.4160002.430E-043 2.553E-08.06930.090 5092.98800.740.000000                                                el  27      136650314210 9 8 0   330.0  330.0
 2412999.4160008.290E-046 5.596E-08.05910.066 6607.79200.670.000000                                                el  67      135540314210 9 8 0   810.0  810.0
 2412999.4160002.230E-056 2.072E-05.05710.06412872.90900.650.000000                                                el  82      134540314210 9 8 0   990.0  990.0
 2112999.4160006.370E-067 5.408E-05.05750.06419687.99000.650.000000                                                el  79      135540314210 9 8 0   159.0  159.0
 2112999.4160003.860E-065 4.858E-05.05560.06218867.77500.650.000000                                                el  99      134440314210 9 8 0   199.0  199.0
 2412999.4160004.230E-062 1.196E-04.05490.06115998.60700.660.000000                                                el 107      134440314210 9 8 0  1290.0 1290.0
 2212999.4160008.190E-045 1.198E-06.06530.072 7416.62100.720.000000                                                el  51      135540314210 9 8 0   206.0  206.0
